"pre","result","stock.price","stock.time","stock.code","stock.name","stock.date","trade","strategy","strategy.b","strategy.s"
"0","1",15.6675,"2016-06-15 15:15:00","600000.SH","浦发银行",2016-06-15,-1,0,0,0
"0",NA,15.7205,"2016-06-16 15:15:00","600000.SH","浦发银行",2016-06-16,-1,0,0,0
"0","1",15.694,"2016-06-17 15:15:00","600000.SH","浦发银行",2016-06-17,-1,0,0,0
"0","0",15.7646,"2016-06-20 15:15:00","600000.SH","浦发银行",2016-06-20,-1,0,0,0
"0","1",15.7028,"2016-06-21 15:15:00","600000.SH","浦发银行",2016-06-21,-1,0,0,0
"0","0",15.8,"2016-06-22 15:15:00","600000.SH","浦发银行",2016-06-22,-1,0,0,0
"0","0",15.72,"2016-06-23 15:15:00","600000.SH","浦发银行",2016-06-23,-1,0,0,0
"1",NA,15.28,"2016-06-24 15:15:00","600000.SH","浦发银行",2016-06-24,1,1,1,1
"0",NA,15.31,"2016-06-27 15:15:00","600000.SH","浦发银行",2016-06-27,-1,0,0,0
"0","1",15.28,"2016-06-28 15:15:00","600000.SH","浦发银行",2016-06-28,-1,0,0,0
"0","1",15.5,"2016-06-29 15:15:00","600000.SH","浦发银行",2016-06-29,-1,-1,-1,-1
"0","1",15.57,"2016-06-30 15:15:00","600000.SH","浦发银行",2016-06-30,-1,0,0,0
"0",NA,15.92,"2016-07-01 15:15:00","600000.SH","浦发银行",2016-07-01,-1,0,0,0
"0","0",15.93,"2016-07-04 15:15:00","600000.SH","浦发银行",2016-07-04,-1,0,0,0
"0","0",15.79,"2016-07-05 15:15:00","600000.SH","浦发银行",2016-07-05,-1,0,0,0
"0","0",15.64,"2016-07-06 15:15:00","600000.SH","浦发银行",2016-07-06,-1,0,0,0
"0","0",15.57,"2016-07-07 15:15:00","600000.SH","浦发银行",2016-07-07,-1,0,0,0
"0",NA,15.45,"2016-07-08 15:15:00","600000.SH","浦发银行",2016-07-08,-1,0,0,0
"0","1",15.43,"2016-07-11 15:15:00","600000.SH","浦发银行",2016-07-11,-1,0,0,0
"0","1",15.64,"2016-07-12 15:15:00","600000.SH","浦发银行",2016-07-12,-1,0,0,0
"0","0",15.79,"2016-07-13 15:15:00","600000.SH","浦发银行",2016-07-13,-1,0,0,0
"0",NA,15.7,"2016-07-14 15:15:00","600000.SH","浦发银行",2016-07-14,-1,0,0,0
"0","1",15.71,"2016-07-15 15:15:00","600000.SH","浦发银行",2016-07-15,-1,0,0,0
"0","0",15.77,"2016-07-18 15:15:00","600000.SH","浦发银行",2016-07-18,-1,0,0,0
"0",NA,15.73,"2016-07-19 15:15:00","600000.SH","浦发银行",2016-07-19,-1,0,0,0
"0","1",15.75,"2016-07-20 15:15:00","600000.SH","浦发银行",2016-07-20,-1,0,0,0
"0","0",15.83,"2016-07-21 15:15:00","600000.SH","浦发银行",2016-07-21,-1,0,0,0
"0","1",15.63,"2016-07-22 15:15:00","600000.SH","浦发银行",2016-07-22,-1,0,0,0
"0","1",15.69,"2016-07-25 15:15:00","600000.SH","浦发银行",2016-07-25,-1,0,0,0
"0","1",15.74,"2016-07-26 15:15:00","600000.SH","浦发银行",2016-07-26,-1,0,0,0
"0","0",15.87,"2016-07-27 15:15:00","600000.SH","浦发银行",2016-07-27,-1,0,0,0
"0",NA,15.68,"2016-07-28 15:15:00","600000.SH","浦发银行",2016-07-28,-1,0,0,0
"0","1",15.7,"2016-07-29 15:15:00","600000.SH","浦发银行",2016-07-29,-1,0,0,0
"0","0",15.8,"2016-08-01 15:15:00","600000.SH","浦发银行",2016-08-01,-1,0,0,0
"0","0",15.75,"2016-08-02 15:15:00","600000.SH","浦发银行",2016-08-02,-1,0,0,0
"0","0",15.67,"2016-08-03 15:15:00","600000.SH","浦发银行",2016-08-03,-1,0,0,0
"0","1",15.59,"2016-08-04 15:15:00","600000.SH","浦发银行",2016-08-04,-1,0,0,0
"0",NA,15.73,"2016-08-05 15:15:00","600000.SH","浦发银行",2016-08-05,-1,0,0,0
"0","1",15.74,"2016-08-08 15:15:00","600000.SH","浦发银行",2016-08-08,-1,0,0,0
"0","1",15.79,"2016-08-09 15:15:00","600000.SH","浦发银行",2016-08-09,-1,0,0,0
"0","1",15.83,"2016-08-10 15:15:00","600000.SH","浦发银行",2016-08-10,-1,0,0,0
"0","1",16.07,"2016-08-11 15:15:00","600000.SH","浦发银行",2016-08-11,-1,0,0,0
"0","1",16.36,"2016-08-12 15:15:00","600000.SH","浦发银行",2016-08-12,-1,0,0,0
"0","0",16.94,"2016-08-15 15:15:00","600000.SH","浦发银行",2016-08-15,-1,0,0,0
"0","0",16.7,"2016-08-16 15:15:00","600000.SH","浦发银行",2016-08-16,-1,0,0,0
"0","0",16.64,"2016-08-17 15:15:00","600000.SH","浦发银行",2016-08-17,-1,0,0,0
"0",NA,16.44,"2016-08-18 15:15:00","600000.SH","浦发银行",2016-08-18,-1,0,0,0
"0",NA,16.42,"2016-08-19 15:15:00","600000.SH","浦发银行",2016-08-19,-1,0,0,0
"0",NA,16.41,"2016-08-22 15:15:00","600000.SH","浦发银行",2016-08-22,-1,0,0,0
"0",NA,16.4,"2016-08-23 15:15:00","600000.SH","浦发银行",2016-08-23,-1,0,0,0
"0","0",16.39,"2016-08-24 15:15:00","600000.SH","浦发银行",2016-08-24,-1,0,0,0
"0",NA,16.34,"2016-08-25 15:15:00","600000.SH","浦发银行",2016-08-25,-1,0,0,0
"0","0",16.34,"2016-08-26 15:15:00","600000.SH","浦发银行",2016-08-26,-1,0,0,0
"1","1",16.23,"2016-08-29 15:15:00","600000.SH","浦发银行",2016-08-29,1,0,0,0
"0","1",16.4,"2016-08-30 15:15:00","600000.SH","浦发银行",2016-08-30,-1,0,0,0
"0","0",16.48,"2016-08-31 15:15:00","600000.SH","浦发银行",2016-08-31,-1,0,0,0
